puma=# select  gid,
puma-#         bu_naam,
puma-#         gm_naam,
puma-#         (select sum(steel_kg_min_sum) from puma.panden p where ST_Contains(ST_Transform(b.geom,4326), p.geom)) AS steel_kg_min,
puma-#         (select sum(steel_kg_max_sum) from puma.panden p where ST_Contains(ST_Transform(b.geom,4326), p.geom)) AS steel_kg_max,
puma-#         (select sum(copper_kg_min_sum) from puma.panden p where ST_Contains(ST_Transform(b.geom,4326), p.geom)) AS copper_kg_min,         (select sum(copper_kg_min_sum) from puma.panden p where ST_Contains(ST_Transform(b.geom,4326), p.geom)) AS copper_kg_max
puma-#         from puma.buurt b where gm_naam = 'Amsterdam';
  gid  |               bu_naam               |  gm_naam  | steel_kg_min | steel_kg_max | copper_kg_min | copper_kg_max 
  4303 | Oostelijk Havengebied               | Amsterdam |      5938400 |      9379600 |        116985 |        116985
  4304 | Zeeburgereiland/Nieuwe Diep         | Amsterdam |       296300 |       529900 |          4220 |          4220
  4305 | IJburg West                         | Amsterdam |      3493000 |      5568600 |         91165 |         91165
  4308 | Middenmeer                          | Amsterdam |      4278900 |      7222100 |         82870 |         82870
  4306 | IJburg Zuid                         | Amsterdam |      1849500 |      2904300 |         43515 |         43515
  4307 | Frankendael                         | Amsterdam |      3171600 |      5518400 |         47165 |         47165
  4309 | Betondorp                           | Amsterdam |       993400 |      1776200 |         11975 |         11975
  4310 | De Omval                            | Amsterdam |      1469300 |      2568500 |         18960 |         18960
  4311 | IJburg Oost                         | Amsterdam |              |              |               |              
  4312 | Volewijck                           | Amsterdam |      2570900 |      4554500 |         34715 |         34715
  4313 | Ijplein/Vogelbuurt                  | Amsterdam |      2211900 |      3843100 |         35200 |         35200
  4314 | Tuindorp Nieuwendam                 | Amsterdam |       946700 |      1686300 |         11705 |         11705
  4315 | Tuindorp Buiksloot                  | Amsterdam |       526600 |       933800 |          9370 |          9370
  4316 | Nieuwendammerdijk/Buiksloterdijk    | Amsterdam |       363700 |       618900 |          9610 |          9610
  4317 | Tuindorp Oostzaan                   | Amsterdam |      2643700 |      4664500 |         44130 |         44130
  4318 | Oostzanerwerf                       | Amsterdam |      2358200 |      3834200 |         48320 |         48320
  4319 | Kadoelen                            | Amsterdam |       670100 |      1158500 |         14965 |         14965
  4320 | Nieuwendam-Noord                    | Amsterdam |      3160500 |      5340100 |         50775 |         50775
  4321 | Buikslotermeer                      | Amsterdam |      3909800 |      6481400 |         69185 |         69185
  4322 | Banne Buiksloot                     | Amsterdam |      3381200 |      5734800 |         66020 |         66020
  4323 | Buiksloterham                       | Amsterdam |       519000 |       869000 |         10175 |         10175
  4324 | Nieuwendammerham                    | Amsterdam |        41900 |        71500 |          1020 |          1020
  4325 | Waterland                           | Amsterdam |       466500 |       801300 |         12455 |         12455
  4326 | Amstel III/Bullewijk                | Amsterdam |       217200 |       362000 |          2070 |          2070
  4327 | Bijlmer-Centrum (D, F, H)           | Amsterdam |      6755700 |     11263700 |        106300 |        106300
  4328 | Bijlmer-Oost (E, G, K)              | Amsterdam |      7836400 |     12740800 |        147955 |        147955
  4329 | Nellestein                          | Amsterdam |      1178500 |      1850500 |         18140 |         18140
  4330 | Holendrecht/Reigersbos              | Amsterdam |      4675600 |      8010800 |         89920 |         89920
  4331 | Gein                                | Amsterdam |      2845000 |      4899000 |         54155 |         54155
  4332 | Driemond                            | Amsterdam |       341200 |       590800 |          6500 |          6500
 12033 |                                     | Amsterdam |        50000 |        87200 |          1675 |          1675
(98 rows)
